"","V4","total"
"874","@ADBoyntonII",17506
"875","@unyankobtrd",17475
"876","@processic",17402
"877","@maryltrump",17360
"878","@SJPeace",17344
"879","@HaddadFernando",17278
"880","@verellie",17242
"881","@koocalvins",17215
"882","@ReicherStephen",17195
"883","@fordnation",17142
"884","@mohaminmed",17137
"885","@meesterleesir",17126
"886","@realericcarmen",17117
"887","@woonzen39",17117
"888","@thaipbs",17091
"889","@ullissima",17074
"890","@mariamainmo",17060
"891","@mrmessenger",17049
"892","@BrianSimsPA",16991
"893","@JulianEpp",16973
"894","@CDCgov",16970
"895","@gmmtv",16797
"896","@luchaalmada",16783
"897","@guinapolitano",16779
"898","@prialcantara",16775
"899","@hshaban",16759
"900","@lilystgermain",16627
"901","@epikhigz",16620
"902","@SpeakerPelosi",16612
"903","@cutimakan",16531
"904","@jamiewithorne",16482
"905","@mononcecouerant",16405
"906","@literelly",16344
"907","@thaidansker",16308
"908","@profmakehappy",16286
"909","@ibaillanos",16282
"910","@asyrafrusni94",16278
"911","@MrGee54",16252
"912","@KyarraIman",16228
"913","@tonyferraro7",16165
"914","@chrismilburnnps",16085
"915","@theauguststar",16047
"916","@nepswirldabeard",16014
"917","@MoSpruill",16013
"918","@andrebrandt",15966
"919","@GregAbbottTX",15930
"920","@camieecamm",15809
"921","@showmetheyamz",15805
"922","@UNICEF",15794
"923","@talkmaster",15786
"924","@FaheemYounus",15715
"925","@heccctor11",15669
"926","@justintrudeau",15493
"927","@thecathooman",15480
"928","@jasonhickel",15430
"929","@CasualPS",15424
"930","@elykreimendahl",15408
"931","@mmithplease",15375
"932","@neiladel",15370
"933","@NicolaSturgeon",15335
"934","@imvkohli",15233
"935","@tribelaw",15076
"936","@suriyaoffl",15074
"937","@rekhaberry",15028
"938","@waniardy",15017
"939","@reyydrew",14824
"940","@DrDenaGrayson",14798
"941","@arvindkejriwal",14793
"942","@ejln",14792
"943","@nazrih",14663
"944","@sendcats",14424
"945","@Brado84",14412
"946","@Dystopia992",14402
"947","@alinao17",14384
"948","@RyanAFournier",14343
"949","@4lisaguerrero",14184
"950","@julifaita",14131
"951","@yungskuntebony",14122
"952","@datukhensem",14099
"953","@TonsTweetings",14065
"954","@nygovcuomo",14050
"955","@davidschneider",14040
"956","@PugMafia2",14010
"957","@minjinlee11",13966
"958","@tapuyatarairiu",13964
"959","@WesleyLowery",13933
"960","@thomasvconti",13889
"961","@AmberHobbs7",13853
"962","@hermyrahim",13849
"963","@aajtak",13838
"964","@nellythamenace",13827
"965","@gmariah",13760
"966","@stevehanke",13731
"967","@juliaksksks",13657
"968","@emrhaqim",13615
"969","@kaitlancollins",13532
"970","@nedajahanbani",13448
"971","@MMarieSophie",13443
"972","@ddzinha99",13408
"973","@hrmoroz",13400
"974","@RepMattGaetz",13311
"975","@benjvmins",13299
"976","@thelastjaedi",13276
"977","@gussooficial",13265
"978","@spin9",13245
"979","@501Awani",13221
"980","@FirstGentleman",13213
"981","@jordanschachtel",13190
"982","@aqfiazfan",13113
"983","@maxiiszvanz",13105
"984","@repmariasalazar",12994
"985","@t3rr3z",12850
"986","@himantabiswa",12835
"987","@mohdkhairul",12812
"988","@RepMaxineWaters",12684
"989","@sandwichghoul",12626
"990","@biharstudents",12543
"991","@bidenfinnegan",12539
"992","@davidlparsons",12470
"993","@laprofepaos",12457
"994","@SherriSantosMSN",12361
"995","@JoshuaPotash",12348
"996","@rachelkiki",12080
"997","@dylanthyme",12062
"998","@rominasandeer",11972
"999","@CMOyeks",11948
"1000","@nigelfarage",11921
"1001","@scenyor",11882
"1002","@itsjoebro",11680
"1003","@AfricaFactsZone",11555
"1004","@nextgaara",11555
"1005","@dobbyclub06",11523
"1006","@cixdle",11398
"1007","@bioleticia",11291
"1008","@sofiiherrera",11290
