"","Year","Month","Day","Sentiment","Count","Avg_Per"
"355",2020,5,27,"negative",387500,0.843976776761221
"356",2020,5,27,"neutral",43352,0.0932816862017668
"357",2020,5,27,"positive",28385,0.0627415370370118
"358",2020,5,28,"negative",314829,0.842753196443673
"359",2020,5,28,"neutral",36699,0.0986004047466084
"360",2020,5,28,"positive",21223,0.0586463988097186
"361",2020,5,29,"negative",318404,0.843667070816568
"362",2020,5,29,"neutral",38702,0.100376760142291
"363",2020,5,29,"positive",20881,0.055956169041141
"364",2020,5,30,"negative",352155,0.822156636416594
"365",2020,5,30,"neutral",45991,0.108124365592039
"366",2020,5,30,"positive",29529,0.0697189979913674
"367",2020,5,31,"negative",337605,0.83180006369372
"368",2020,5,31,"neutral",42192,0.104601868543751
"369",2020,5,31,"positive",24276,0.0635980677625293
"370",2020,6,1,"negative",430161,0.818441191521357
"371",2020,6,1,"neutral",64397,0.122218799802301
"372",2020,6,1,"positive",31823,0.0593400086763419
"373",2020,6,2,"negative",355288,0.845277997533787
"374",2020,6,2,"neutral",40368,0.0935665848076603
"375",2020,6,2,"positive",25477,0.0611554176585532
"376",2020,6,3,"negative",350847,0.84481807875775
"377",2020,6,3,"neutral",44913,0.106708977407021
"378",2020,6,3,"positive",19924,0.0484729438352287
"379",2020,6,4,"negative",386202,0.851152960185716
"380",2020,6,4,"neutral",43044,0.0944227675768284
"381",2020,6,4,"positive",24327,0.0544242722374559
"382",2020,6,5,"negative",377463,0.84041249705407
"383",2020,6,5,"neutral",44806,0.0976150313806952
"384",2020,6,5,"positive",27199,0.0619724715652344
"385",2020,6,6,"negative",557689,0.825444994036609
"386",2020,6,6,"neutral",75406,0.110521692203418
"387",2020,6,6,"positive",41907,0.0640333137599725
"388",2020,6,7,"negative",609161,0.834332854785405
"389",2020,6,7,"neutral",79353,0.109939424984258
"390",2020,6,7,"positive",39128,0.0557277202303364
"391",2020,6,8,"negative",669630,0.849725540422678
"392",2020,6,8,"neutral",76082,0.0955862768830857
"393",2020,6,8,"positive",42336,0.0546881826942364
"394",2020,6,9,"negative",588829,0.838049977840343
"395",2020,6,9,"neutral",72884,0.102722735060458
"396",2020,6,9,"positive",40052,0.0592272870991989
"397",2020,6,10,"negative",613084,0.832888032863512
"398",2020,6,10,"neutral",81896,0.112328120767394
"399",2020,6,10,"positive",39123,0.0547838463690938
"400",2020,6,11,"negative",604661,0.828391525965212
"401",2020,6,11,"neutral",76258,0.103885336610766
"402",2020,6,11,"positive",45148,0.0677231374240222
"403",2020,6,12,"negative",584449,0.837759510052273
"404",2020,6,12,"neutral",75347,0.107467978467864
"405",2020,6,12,"positive",36357,0.054772511479863
"406",2020,6,13,"negative",602000,0.836857015376371
"407",2020,6,13,"neutral",81818,0.114086251145101
"408",2020,6,13,"positive",34832,0.0490567334785281
"409",2020,6,14,"negative",525879,0.813955247735063
"410",2020,6,14,"neutral",83756,0.126621060992337
"411",2020,6,14,"positive",37936,0.0594236912725993
"412",2020,6,15,"negative",552606,0.833919722292259
"413",2020,6,15,"neutral",75135,0.111508867547018
"414",2020,6,15,"positive",35890,0.0545714101607225
"415",2020,6,16,"negative",541691,0.827094220558181
"416",2020,6,16,"neutral",75377,0.113213554718991
"417",2020,6,16,"positive",39347,0.0596922247228277
"418",2020,6,17,"negative",623847,0.84654574007791
"419",2020,6,17,"neutral",78137,0.103692148600966
"420",2020,6,17,"positive",36693,0.0497621113211237
"421",2020,6,18,"negative",418842,0.830331695891815
"422",2020,6,18,"neutral",57210,0.113943636635907
"423",2020,6,18,"positive",25509,0.0554318183590357
"424",2021,6,9,"negative",312478,0.844512143151573
"425",2021,6,9,"neutral",40020,0.109088582286996
"426",2021,6,9,"positive",17042,0.0463992745614305
"427",2021,6,12,"negative",336466,0.848678309906129
"428",2021,6,12,"neutral",45559,0.11108475868303
"429",2021,6,12,"positive",15454,0.0402369314108411
"430",2021,6,13,"negative",292062,0.842662410570893
"431",2021,6,13,"neutral",39731,0.114644830272154
"432",2021,6,13,"positive",14871,0.0426927591569523
"433",2021,6,14,"negative",301597,0.839701084082483
"434",2021,6,14,"neutral",40950,0.113893149002908
"435",2021,6,14,"positive",16493,0.0464057669146086
"436",2021,6,15,"negative",327873,0.846212727224813
"437",2021,6,15,"neutral",41151,0.106366052879393
"438",2021,6,15,"positive",17988,0.0474212198957946
"439",2021,6,16,"negative",310628,0.845913233124938
"440",2021,6,16,"neutral",40260,0.105721089636333
"441",2021,6,16,"positive",17872,0.0483656772387285
"442",2021,6,17,"negative",282361,0.84394299279602
"443",2021,6,17,"neutral",36039,0.108642486671987
"444",2021,6,17,"positive",15489,0.0474145205319931
"445",2021,6,18,"negative",303647,0.842390633197042
"446",2021,6,18,"neutral",39230,0.10956922778966
"447",2021,6,18,"positive",17165,0.0480401390132984
"448",2021,6,19,"negative",274158,0.854096977943657
"449",2021,6,19,"neutral",32547,0.101575137993666
"450",2021,6,19,"positive",13685,0.0443278840626766
"451",2021,6,20,"negative",227378,0.828334861214383
"452",2021,6,20,"neutral",32772,0.117860958043882
"453",2021,6,20,"positive",15145,0.0538041807417356
"454",2021,6,21,"negative",274072,0.82672156526108
"455",2021,6,21,"neutral",37209,0.116421113771898
"456",2021,6,21,"positive",18013,0.0568573209670217
"457",2021,6,22,"negative",407784,0.851373355617551
"458",2021,6,22,"neutral",45606,0.0985612548473226
"459",2021,6,22,"positive",22737,0.0500653895351266
"460",2021,6,23,"negative",359665,0.856630509185529
"461",2021,6,23,"neutral",40547,0.0968541224656014
"462",2021,6,23,"positive",19070,0.0465153683488696
"463",2021,6,24,"negative",328616,0.851593811404405
"464",2021,6,24,"neutral",37423,0.0976904728755811
"465",2021,6,24,"positive",19925,0.0507157157200139
"466",2021,6,25,"negative",320215,0.853873092193773
"467",2021,6,25,"neutral",34470,0.0925418016693414
"468",2021,6,25,"positive",18476,0.0535851061368858
"469",2021,6,26,"negative",280113,0.85467347255314
"470",2021,6,26,"neutral",31286,0.0943659509255957
"471",2021,6,26,"positive",16716,0.0509605765212641
"472",2021,6,27,"negative",316155,0.82988210182507
"473",2021,6,27,"neutral",45007,0.124502763321305
"474",2021,6,27,"positive",16725,0.0456151348536246
"475",2021,6,29,"negative",325441,0.849200539730184
"476",2021,6,29,"neutral",39347,0.100591885529404
"477",2021,6,29,"positive",19975,0.0502075747404111
